model,cv_auc_mean,cv_auc_std,cv_acc_mean,cv_acc_std
RandomForest,0.9027383301108953,0.017403247125779182,0.8653340635268346,0.014334074588254772
HistGradBoost,0.8657097097005924,0.014811890507333537,0.8562687112084703,0.02009070593436297
GradBoost,0.8598431564138155,0.01787389546780335,0.8490288426433004,0.013285674109713711
XGBoost,0.8539814523859282,0.025118261318302405,0.8520335889010587,0.024035923791784125
LightGBM,0.8495625968481335,0.02072646591317161,0.8508506754289886,0.02273716220494769
TorchMLP,0.8109049543570886,0.02754357810909037,0.8194633077765608,0.02469305334666661
LogReg,0.7966818756292441,0.029168350108892297,0.7656809054399416,0.027321617169091584
DecisionTree,0.74999587602157,0.025901985641312186,0.83092004381161,0.0181315989767273
